year,quarter,entity_type,entity_name,count,amount
2024,3,pincode,500081,64860408,70783617503.0
2024,3,pincode,560068,63337647,60042061003.0
2024,3,pincode,560100,57890073,54596825856.0
2024,3,pincode,452001,54979662,48977311740.0
2024,3,pincode,410501,51594896,38484342016.0
2024,3,pincode,560037,50010832,51995620737.0
2024,3,pincode,411057,46700269,37628700658.0
2024,3,pincode,560066,44823424,45681565757.0
2024,1,district,bengaluru urban,1410557938,1530943099565.0
2024,1,district,pune,733071386,673821354148.0
2024,1,district,rangareddy,488047529,658571093582.0
2024,1,district,jaipur,417960026,559737992837.0
2024,1,district,hyderabad,402314318,527685058004.0
2024,1,district,medchal malkajgiri,380041109,499878493547.0
2024,1,district,visakhapatnam,238418938,363341573689.0
2024,1,district,gurugram,220314122,209018505349.0
2024,1,district,gautam buddha nagar,214720949,194154342486.0
2024,1,district,indore,204031251,225074399956.0
2024,1,pincode,500072,69094126,88039295927.0
2024,1,pincode,560068,65916906,63058218288.0
2024,1,pincode,201301,52120222,40796556514.0
2024,1,pincode,560037,44437042,46789563898.0
2024,1,pincode,410501,43473832,33452714100.0
2024,1,pincode,500081,43128414,49113797461.0
2024,1,pincode,560076,40863256,40420178638.0
2024,1,pincode,560078,40535894,42657750513.0
2024,1,pincode,411057,40434976,31533887646.0
2024,1,pincode,500032,40014033,45087861514.0
2024,2,district,bengaluru urban,1497173080,1626460643067.0
2024,2,district,pune,774940848,703288284286.0
2024,2,district,rangareddy,539561247,707566316827.0
2024,2,district,jaipur,473991132,581415499446.0
2024,2,district,hyderabad,435136278,550918208821.0
2024,2,district,medchal malkajgiri,416369023,532889975847.0
2024,2,district,gurugram,267480541,231403496054.0
2024,2,district,gautam buddha nagar,265595986,216594147530.0
2024,2,district,visakhapatnam,260339876,378402015204.0
2024,2,district,indore,224896033,239315772788.0
2024,2,pincode,500072,76230583,93277825439.0
2024,2,pincode,560068,69364986,66289367831.0
2024,2,pincode,201301,62464983,44004838882.0
2024,2,pincode,500081,47745271,52611737092.0
2024,2,pincode,410501,46907334,34713255109.0
2024,2,pincode,560037,46776034,48880395601.0
2024,2,pincode,500032,43718050,47723230498.0
2024,2,pincode,560076,42881778,42679317598.0
2024,2,pincode,560078,42529166,45410228491.0
2024,2,pincode,411057,42406480,32822122569.0
2022,4,district,hyderabad,1133829812,1753799022390.8733
2022,4,district,bengaluru urban,876647100,1092079302011.8888
2022,4,district,pune,544687754,590334491443.0927
2022,4,district,jaipur,404922774,635458549842.8215
2022,4,district,central delhi,280960656,386107883617.5307
2022,4,district,mumbai suburban,248827345,310278216439.5166
2022,4,district,chhindwara,245710341,350638062974.85736
2022,4,district,patna,217434851,352393762150.454
2022,4,district,khordha,208260666,268479766618.40594
2022,4,district,rangareddy,191136402,295773661437.69385
2022,4,pincode,500034,967508435,1501499856273.482
2022,4,pincode,560027,290033166,383980424744.5664
2022,4,pincode,411033,263248580,298971294541.89966
2022,4,pincode,110006,258183697,349487194869.16797
2022,4,pincode,302012,255709582,401447081116.4074
2022,4,pincode,480001,240053791,341860974379.64307
2022,4,pincode,400070,180508440,226320223720.0673
2022,4,pincode,800001,167166031,269652534972.60126
2022,4,pincode,751001,140210762,184650659638.9054
2022,4,pincode,700039,119193886,219834107643.85355
2022,1,district,bengaluru urban,648380838,837938769153.0938
2022,1,district,pune,424149132,508475101454.5797
2022,1,district,hyderabad,372711414,661512502141.0775
2022,1,district,jaipur,262950613,434507898653.22876
2022,1,district,bhopal,159892411,221096758835.27948
2022,1,district,central delhi,128309915,198072597274.588
2022,1,district,rangareddy,127675017,216609881380.40106
2022,1,district,medchal malkajgiri,110893187,185168270983.38605
2022,1,district,mumbai suburban,104595313,148080835860.6061
2022,1,district,khordha,104052705,152745328927.4852
2022,1,pincode,500001,248675599,460948755722.1826
2022,1,pincode,560001,224793308,308663371704.65454
2022,1,pincode,411004,209101358,285005833904.6318
2022,1,pincode,302016,148956604,248958961898.95383
